,ID,Alamosite,Chalcophyllite,Gypsum,Orpiment,Junitoite,Phoenicochroite,Groutite,Zykaite,Weloganite,Diadochite,Semseyite,Creedite,Xieite,Eveite,Rutile,Tyrolite,Feroxyhyte,Kostovite
0,Ast_000001,1893.0,3812.0,4945.0,4139.0,2689.0,3768.0,9569.0,3164.0,4259.0,2396.0,4239.0,12622.0,2955.0,5695.0,3161.0,3115.0,3356.0,3309.0
1,Ast_000002,3604.0,4652.0,2587.0,2021.0,4569.0,1844.0,16390.0,1598.0,3981.0,5562.0,2426.0,6278.0,4205.0,3471.0,1100.0,2433.0,3845.0,1607.0
2,Ast_000003,4370.0,4676.0,2648.0,2375.0,4468.0,1037.0,19471.0,1495.0,3981.0,5267.0,1924.0,7317.0,3366.0,2485.0,1598.0,2313.0,3802.0,1905.0
3,Ast_000004,2767.0,5068.0,1547.0,2958.0,3945.0,2363.0,13061.0,4045.0,3327.0,3581.0,2042.0,9063.0,5112.0,2422.0,4076.0,4758.0,4329.0,2643.0
4,Ast_000005,2007.0,4186.0,3776.0,3177.0,3575.0,2242.0,10044.0,3059.0,4721.0,2719.0,4707.0,9740.0,4266.0,3564.0,1595.0,2919.0,1938.0,4296.0
5,Ast_000006,2221.0,3900.0,4356.0,3932.0,2729.0,3261.0,10878.0,4177.0,3884.0,2334.0,4324.0,11999.0,3031.0,5149.0,3315.0,3026.0,2946.0,3174.0
6,Ast_000007,4621.0,2176.0,1933.0,3065.0,4278.0,3895.0,20477.0,3665.0,3349.0,5578.0,4934.0,9408.0,5162.0,2673.0,1686.0,2837.0,4558.0,3792.0
7,Ast_000008,4414.0,4557.0,2199.0,1695.0,4945.0,2137.0,19657.0,2724.0,4202.0,4819.0,2150.0,5282.0,3883.0,2616.0,2419.0,2454.0,2408.0,1915.0
8,Ast_000009,4094.0,1353.0,2506.0,4370.0,1505.0,3854.0,18376.0,1705.0,3807.0,3074.0,2786.0,13314.0,2645.0,4348.0,2243.0,3086.0,2554.0,3752.0
9,Ast_000010,4336.0,878.0,1915.0,3953.0,1710.0,3542.0,19345.0,2117.0,4224.0,2899.0,2783.0,12075.0,2763.0,4871.0,2725.0,3170.0,3011.0,3638.0
10,Ast_000011,2999.0,4087.0,3733.0,3784.0,2474.0,2961.0,14000.0,3292.0,3416.0,2899.0,4355.0,11545.0,3063.0,4940.0,3222.0,2773.0,3371.0,3020.0
11,Ast_000012,2423.0,3974.0,3537.0,3914.0,3160.0,2404.0,11686.0,2248.0,4779.0,3414.0,4220.0,11928.0,4222.0,2983.0,1812.0,3351.0,2139.0,3973.0
12,Ast_000013,4536.0,4619.0,2610.0,2082.0,5247.0,2355.0,20133.0,1800.0,4519.0,4947.0,1832.0,6424.0,4420.0,2505.0,1803.0,2355.0,2951.0,1687.0
13,Ast_000014,4308.0,1539.0,1778.0,4107.0,2053.0,4214.0,19245.0,1233.0,3786.0,2620.0,2746.0,12524.0,3236.0,4410.0,2295.0,3131.0,2527.0,3749.0
14,Ast_000015,4717.0,2521.0,2128.0,3035.0,4544.0,4499.0,20867.0,3542.0,3022.0,5651.0,4746.0,9304.0,5478.0,2908.0,1688.0,2404.0,4642.0,3349.0
15,Ast_000016,2904.0,4642.0,2248.0,3047.0,3742.0,2148.0,13614.0,4536.0,3353.0,3751.0,2123.0,9342.0,4244.0,2337.0,4132.0,4704.0,4853.0,3501.0
16,Ast_000017,4210.0,4948.0,2700.0,2367.0,5174.0,1334.0,18825.0,2635.0,3984.0,5051.0,2344.0,7315.0,4416.0,2755.0,1736.0,2161.0,4176.0,1987.0
17,Ast_000018,4133.0,4655.0,2539.0,2194.0,4800.0,1073.0,18518.0,2152.0,4124.0,5244.0,2161.0,6775.0,3899.0,2169.0,2182.0,2288.0,2884.0,2072.0
18,Ast_000019,2212.0,3798.0,3966.0,3817.0,3047.0,3081.0,10835.0,4491.0,3339.0,2646.0,4532.0,11637.0,2537.0,4972.0,2894.0,3221.0,3286.0,3542.0
19,Ast_000020,4186.0,1224.0,1687.0,4662.0,1390.0,4053.0,18738.0,1386.0,4135.0,3123.0,2955.0,14194.0,2292.0,4668.0,2198.0,3220.0,2804.0,3648.0
20,Ast_000021,2146.0,3875.0,3398.0,3886.0,4053.0,1870.0,10578.0,2599.0,4616.0,3327.0,4378.0,11860.0,4214.0,2311.0,2160.0,2849.0,2241.0,3909.0
21,Ast_000022,2178.0,3809.0,4284.0,4081.0,2633.0,3593.0,10699.0,3995.0,3785.0,2193.0,4846.0,12437.0,3092.0,5440.0,3101.0,2918.0,3345.0,3060.0
22,Ast_000023,4243.0,4943.0,5179.0,1790.0,3908.0,2428.0,18985.0,4410.0,1930.0,2385.0,3222.0,5559.0,2735.0,4729.0,2945.0,4368.0,4449.0,2916.0
