ID,Alamosite,Chalcophyllite,Gypsum,Orpiment,Junitoite,Phoenicochroite,Groutite,Zykaite,Weloganite,Diadochite,Semseyite,Creedite,Xieite,Eveite,Rutile,Tyrolite,Feroxyhyte,Kostovite
Ast_000001,1893,3812,4945,4139,2689,3768,9569,3164,4259,2396,4239,12622,2955,5695,3161,3115,3356,3309
Ast_000002,3604,4652,2587,2021,4569,1844,16390,1598,3981,5562,2426,6278,4205,3471,1100,2433,3845,1607
Ast_000003,4370,4676,2648,2375,4468,1037,19471,1495,3981,5267,1924,7317,3366,2485,1598,2313,3802,1905
Ast_000004,2767,5068,1547,2958,3945,2363,13061,4045,3327,3581,2042,9063,5112,2422,4076,4758,4329,2643
Ast_000005,2007,4186,3776,3177,3575,2242,10044,3059,4721,2719,4707,9740,4266,3564,1595,2919,1938,4296
Ast_000006,2221,3900,4356,3932,2729,3261,10878,4177,3884,2334,4324,11999,3031,5149,3315,3026,2946,3174
Ast_000007,4621,2176,1933,3065,4278,3895,20477,3665,3349,5578,4934,9408,5162,2673,1686,2837,4558,3792
Ast_000008,4414,4557,2199,1695,4945,2137,19657,2724,4202,4819,2150,5282,3883,2616,2419,2454,2408,1915
Ast_000009,4094,1353,2506,4370,1505,3854,18376,1705,3807,3074,2786,13314,2645,4348,2243,3086,2554,3752
Ast_000010,4336,878,1915,3953,1710,3542,19345,2117,4224,2899,2783,12075,2763,4871,2725,3170,3011,3638
Ast_000011,2999,4087,3733,3784,2474,2961,14000,3292,3416,2899,4355,11545,3063,4940,3222,2773,3371,3020
Ast_000012,2423,3974,3537,3914,3160,2404,11686,2248,4779,3414,4220,11928,4222,2983,1812,3351,2139,3973
Ast_000013,4536,4619,2610,2082,5247,2355,20133,1800,4519,4947,1832,6424,4420,2505,1803,2355,2951,1687
Ast_000014,4308,1539,1778,4107,2053,4214,19245,1233,3786,2620,2746,12524,3236,4410,2295,3131,2527,3749
Ast_000015,4717,2521,2128,3035,4544,4499,20867,3542,3022,5651,4746,9304,5478,2908,1688,2404,4642,3349
Ast_000016,2904,4642,2248,3047,3742,2148,13614,4536,3353,3751,2123,9342,4244,2337,4132,4704,4853,3501
Ast_000017,4210,4948,2700,2367,5174,1334,18825,2635,3984,5051,2344,7315,4416,2755,1736,2161,4176,1987
Ast_000018,4133,4655,2539,2194,4800,1073,18518,2152,4124,5244,2161,6775,3899,2169,2182,2288,2884,2072
Ast_000019,2212,3798,3966,3817,3047,3081,10835,4491,3339,2646,4532,11637,2537,4972,2894,3221,3286,3542
Ast_000020,4186,1224,1687,4662,1390,4053,18738,1386,4135,3123,2955,14194,2292,4668,2198,3220,2804,3648
Ast_000021,2146,3875,3398,3886,4053,1870,10578,2599,4616,3327,4378,11860,4214,2311,2160,2849,2241,3909
Ast_000022,2178,3809,4284,4081,2633,3593,10699,3995,3785,2193,4846,12437,3092,5440,3101,2918,3345,3060
Ast_000023,4243,4943,5179,1790,3908,2428,18985,4410,1930,2385,3222,5559,2735,4729,2945,4368,4449,2916
Ast_000024,2058,4110,4714,3607,2806,3404,10227,3417,3541,2519,4678,11020,2514,5020,3426,3127,2982,3079
Ast_000025,1310,4581,4163,3845,3418,2083,7239,2922,5517,3417,3299,11729,4271,3246,1744,2966,1728,3957
